timestamp,emotion,reason
2025-07-12 19:19:37,Neutral,Sign detected: Open Hand (webcam)
2025-07-12 19:19:37,neutral,Webcam: Calm and composed.
2025-07-12 19:19:37,Neutral,Sign detected: Open Hand (webcam)
2025-07-12 19:19:38,neutral,Webcam: Calm and composed.
2025-07-12 19:19:38,Neutral,Sign detected: Open Hand (webcam)
2025-07-12 19:19:38,Neutral,Sign detected: Open Hand (webcam)
2025-07-12 19:19:38,neutral,Webcam: Calm and composed.
2025-07-12 19:19:39,Happy,Sign detected: Thumbs Up (webcam)
2025-07-12 19:19:39,neutral,Webcam: Calm and composed.
2025-07-12 19:19:40,Happy,Sign detected: Thumbs Up (webcam)
2025-07-12 19:19:40,neutral,Webcam: Calm and composed.
2025-07-12 19:19:40,Happy,Sign detected: Thumbs Up (webcam)
2025-07-12 19:19:41,Happy,Sign detected: Thumbs Up (webcam)
2025-07-12 19:19:41,neutral,Webcam: Calm and composed.
2025-07-12 19:19:41,Happy,Sign detected: Thumbs Up (webcam)
2025-07-12 19:19:42,happy,"Webcam: Positive mood, feeling good."
2025-07-12 19:19:42,Happy,Sign detected: Thumbs Up (webcam)
2025-07-12 19:19:42,Happy,Sign detected: Thumbs Up (webcam)
2025-07-12 19:19:43,happy,"Webcam: Positive mood, feeling good."
2025-07-12 19:19:43,Happy,Sign detected: Thumbs Up (webcam)
2025-07-12 19:19:43,Happy,Sign detected: Thumbs Up (webcam)
2025-07-12 19:19:43,neutral,Webcam: Calm and composed.
2025-07-12 19:19:44,Neutral,Sign detected: Open Hand (webcam)
2025-07-12 19:19:44,neutral,Webcam: Calm and composed.
2025-07-12 19:19:44,Neutral,Sign detected: Open Hand (webcam)
2025-07-12 19:19:45,Neutral,Sign detected: Open Hand (webcam)
2025-07-12 19:19:45,happy,"Webcam: Positive mood, feeling good."
2025-07-12 19:19:45,Neutral,Sign detected: Open Hand (webcam)
2025-07-12 19:19:46,neutral,Webcam: Calm and composed.
2025-07-12 19:19:46,Neutral,Sign detected: Open Hand (webcam)
2025-07-12 19:19:46,Neutral,Sign detected: Open Hand (webcam)
2025-07-12 19:19:47,neutral,Webcam: Calm and composed.
2025-07-12 19:19:47,Neutral,Sign detected: Open Hand (webcam)
2025-07-12 19:19:48,neutral,Webcam: Calm and composed.
2025-07-12 19:19:48,Neutral,Sign detected: Open Hand (webcam)
2025-07-12 19:19:48,Neutral,Sign detected: Open Hand (webcam)
2025-07-12 19:19:48,neutral,Webcam: Calm and composed.
2025-07-12 19:19:49,No_Detection,No hand found in webcam frame
2025-07-12 19:19:49,No_Detection,No hand found in webcam frame
2025-07-12 19:19:49,neutral,Webcam: Calm and composed.
2025-07-12 19:19:50,No_Detection,No hand found in webcam frame
2025-07-12 19:19:50,neutral,Webcam: Calm and composed.
2025-07-12 19:19:50,No_Detection,No hand found in webcam frame
2025-07-12 19:19:51,No_Detection,No hand found in webcam frame
2025-07-12 19:19:51,neutral,Webcam: Calm and composed.
2025-07-12 19:19:51,No_Detection,No hand found in webcam frame
2025-07-12 19:19:52,happy,"Webcam: Positive mood, feeling good."
2025-07-12 19:19:52,No_Detection,No hand found in webcam frame
2025-07-12 19:19:52,No_Detection,No hand found in webcam frame
2025-07-12 19:19:53,surprise,Webcam: Unexpected event or discovery.
2025-07-12 19:19:53,No_Detection,No hand found in webcam frame
2025-07-12 19:19:53,surprise,Webcam: Unexpected event or discovery.
2025-07-12 19:19:54,No_Detection,No hand found in webcam frame
2025-07-12 19:19:54,No_Detection,No hand found in webcam frame
2025-07-12 19:19:54,neutral,Webcam: Calm and composed.
2025-07-12 19:19:55,No_Detection,No hand found in webcam frame
2025-07-12 19:19:55,neutral,Webcam: Calm and composed.
2025-07-12 19:19:55,No_Detection,No hand found in webcam frame
2025-07-12 19:19:56,neutral,Webcam: Calm and composed.
2025-07-12 19:19:56,No_Detection,No hand found in webcam frame
2025-07-12 19:19:56,No_Detection,No hand found in webcam frame
2025-07-12 19:19:57,neutral,Webcam: Calm and composed.
2025-07-12 19:19:57,No_Detection,No hand found in webcam frame
2025-07-12 19:19:58,neutral,Webcam: Calm and composed.
2025-07-12 19:19:58,No_Detection,No hand found in webcam frame
2025-07-12 19:19:58,No_Detection,No hand found in webcam frame
2025-07-12 19:19:58,neutral,Webcam: Calm and composed.
2025-07-12 19:19:59,No_Detection,No hand found in webcam frame
2025-07-12 19:19:59,neutral,Webcam: Calm and composed.
2025-07-12 19:19:59,No_Detection,No hand found in webcam frame
2025-07-12 19:20:00,No_Detection,No hand found in webcam frame
2025-07-12 19:20:00,neutral,Webcam: Calm and composed.
2025-07-12 19:20:00,No_Detection,No hand found in webcam frame
2025-07-12 19:20:01,neutral,Webcam: Calm and composed.
2025-07-12 19:20:01,No_Detection,No hand found in webcam frame
2025-07-12 19:24:32,neutral,Webcam: Calm and composed.
2025-07-12 19:24:32,No_Detection,No hand found in webcam frame
2025-07-12 19:24:32,neutral,Webcam: Calm and composed.
2025-07-12 19:24:32,No_Detection,No hand found in webcam frame
2025-07-12 19:24:33,No_Detection,No hand found in webcam frame
2025-07-12 19:24:33,neutral,Webcam: Calm and composed.
2025-07-12 19:24:33,No_Detection,No hand found in webcam frame
2025-07-12 19:24:34,No_Detection,No hand found in webcam frame
2025-07-12 19:24:34,neutral,Webcam: Calm and composed.
2025-07-12 19:24:34,No_Detection,No hand found in webcam frame
2025-07-12 19:24:35,neutral,Webcam: Calm and composed.
2025-07-12 19:24:35,No_Detection,No hand found in webcam frame
2025-07-12 19:24:35,No_Detection,No hand found in webcam frame
2025-07-12 19:24:35,neutral,Webcam: Calm and composed.
2025-07-12 19:24:36,No_Detection,No hand found in webcam frame
2025-07-12 19:24:36,neutral,Webcam: Calm and composed.
